method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds,stress_level
calibrated_learned_stack,stress_1.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9944,64,8,1.00
calibrated_learned_stack,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9994,64,8,1.00
calibrated_learned_stack,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.5781,0.4219,0.4219,0.0000,0.0000,0.0000,0.2989,64,8,1.00
energy_residual_threshold,stress_0.00_adversarial_compensated_violation,1.0000,0.3906,0.5618,0.3906,0.0000,0.3906,1.0000,0.0000,1.0000,3.4960,64,8,0.00
energy_residual_threshold,stress_0.00_combined_violation_shift,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.3927,64,8,0.00
energy_residual_threshold,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6406,0.3594,0.3594,0.0000,0.0000,0.0000,3.4083,64,8,0.00
energy_residual_threshold,stress_0.20_adversarial_compensated_violation,1.0000,0.2969,0.4578,0.2969,0.0000,0.2969,1.0000,0.0000,1.0000,3.3022,64,8,0.20
energy_residual_threshold,stress_0.20_combined_violation_shift,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,2.1285,64,8,0.20
energy_residual_threshold,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.7031,0.2969,0.2969,0.0000,0.0000,0.0000,3.2540,64,8,0.20
energy_residual_threshold,stress_0.40_adversarial_compensated_violation,1.0000,0.3594,0.5287,0.3594,0.0000,0.3594,1.0000,0.0000,1.0000,3.2608,64,8,0.40
energy_residual_threshold,stress_0.40_combined_violation_shift,1.0000,0.3594,0.5287,0.3594,0.0000,0.3594,1.0000,0.0000,1.0000,3.4459,64,8,0.40
energy_residual_threshold,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.6719,0.3281,0.3281,0.0000,0.0000,0.0000,3.0460,64,8,0.40
energy_residual_threshold,stress_0.60_adversarial_compensated_violation,1.0000,0.3438,0.5116,0.3438,0.0000,0.3438,1.0000,0.0000,1.0000,3.6340,64,8,0.60
energy_residual_threshold,stress_0.60_combined_violation_shift,1.0000,0.9375,0.9677,0.9375,0.0000,0.9375,1.0000,0.0000,1.0000,5.2541,64,8,0.60
energy_residual_threshold,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.7031,0.2969,0.2969,0.0000,0.0000,0.0000,3.4210,64,8,0.60
energy_residual_threshold,stress_0.80_adversarial_compensated_violation,1.0000,0.3594,0.5287,0.3594,0.0000,0.3594,1.0000,0.0000,1.0000,3.6423,64,8,0.80
energy_residual_threshold,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,7.3146,64,8,0.80
energy_residual_threshold,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.7188,0.2812,0.2812,0.0000,0.0000,0.0000,2.9019,64,8,0.80
energy_residual_threshold,stress_1.00_adversarial_compensated_violation,1.0000,0.4375,0.6087,0.4375,0.0000,0.4375,1.0000,0.0000,1.0000,3.7165,64,8,1.00
energy_residual_threshold,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,9.9652,64,8,1.00
energy_residual_threshold,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.7344,0.2656,0.2656,0.0000,0.0000,0.0000,2.9215,64,8,1.00
hgb_failure_classifier,stress_0.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9737,64,8,0.00
hgb_failure_classifier,stress_0.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9998,64,8,0.00
hgb_failure_classifier,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6719,0.3281,0.3281,0.0000,0.0000,0.0000,0.0801,64,8,0.00
hgb_failure_classifier,stress_0.20_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9695,64,8,0.20
hgb_failure_classifier,stress_0.20_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9990,64,8,0.20
hgb_failure_classifier,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.7812,0.2188,0.2188,0.0000,0.0000,0.0000,0.0954,64,8,0.20
hgb_failure_classifier,stress_0.40_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9838,64,8,0.40
hgb_failure_classifier,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9869,64,8,0.40
hgb_failure_classifier,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.7344,0.2656,0.2656,0.0000,0.0000,0.0000,0.1237,64,8,0.40
hgb_failure_classifier,stress_0.60_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9953,64,8,0.60
hgb_failure_classifier,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9799,64,8,0.60
hgb_failure_classifier,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.7031,0.2969,0.2969,0.0000,0.0000,0.0000,0.1575,64,8,0.60
hgb_failure_classifier,stress_0.80_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9986,64,8,0.80
hgb_failure_classifier,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9776,64,8,0.80
hgb_failure_classifier,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.3770,64,8,0.80
hgb_failure_classifier,stress_1.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9990,64,8,1.00
hgb_failure_classifier,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9788,64,8,1.00
hgb_failure_classifier,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.5469,0.4531,0.4531,0.0000,0.0000,0.0000,0.2876,64,8,1.00
kinematic_residual_threshold,stress_0.00_adversarial_compensated_violation,1.0000,0.3125,0.4762,0.3125,0.0000,0.3125,1.0000,0.0000,1.0000,1.9000,64,8,0.00
kinematic_residual_threshold,stress_0.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.4327,64,8,0.00
kinematic_residual_threshold,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6719,0.3281,0.3281,0.0000,0.0000,0.0000,1.9075,64,8,0.00
kinematic_residual_threshold,stress_0.20_adversarial_compensated_violation,1.0000,0.2500,0.4000,0.2500,0.0000,0.2500,1.0000,0.0000,1.0000,1.9452,64,8,0.20
kinematic_residual_threshold,stress_0.20_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,3.5104,64,8,0.20
kinematic_residual_threshold,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.7500,0.2500,0.2500,0.0000,0.0000,0.0000,1.8665,64,8,0.20
kinematic_residual_threshold,stress_0.40_adversarial_compensated_violation,1.0000,0.6094,0.7573,0.6094,0.0000,0.6094,1.0000,0.0000,1.0000,2.1365,64,8,0.40
kinematic_residual_threshold,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,4.5973,64,8,0.40
kinematic_residual_threshold,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.7500,0.2500,0.2500,0.0000,0.0000,0.0000,1.8686,64,8,0.40
kinematic_residual_threshold,stress_0.60_adversarial_compensated_violation,1.0000,0.9375,0.9677,0.9375,0.0000,0.9375,1.0000,0.0000,1.0000,2.4049,64,8,0.60
kinematic_residual_threshold,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,5.7017,64,8,0.60
kinematic_residual_threshold,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.6094,0.3906,0.3906,0.0000,0.0000,0.0000,1.9834,64,8,0.60
kinematic_residual_threshold,stress_0.80_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.6378,64,8,0.80
kinematic_residual_threshold,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,6.7737,64,8,0.80
kinematic_residual_threshold,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.5156,0.4844,0.4844,0.0000,0.0000,0.0000,1.9846,64,8,0.80
kinematic_residual_threshold,stress_1.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,2.8882,64,8,1.00
kinematic_residual_threshold,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,7.8789,64,8,1.00
kinematic_residual_threshold,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6094,0.3906,0.3906,0.0000,0.0000,0.0000,2.0086,64,8,1.00
max_residual_detector,stress_0.00_adversarial_compensated_violation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,228.6723,64,8,0.00
max_residual_detector,stress_0.00_combined_violation_shift,1.0000,0.2500,0.4000,0.2500,0.0000,0.2500,1.0000,0.0000,1.0000,390.0830,64,8,0.00
max_residual_detector,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,236.3441,64,8,0.00
max_residual_detector,stress_0.20_adversarial_compensated_violation,1.0000,0.1406,0.2466,0.1406,0.0000,0.1406,1.0000,0.0000,1.0000,291.9148,64,8,0.20
max_residual_detector,stress_0.20_combined_violation_shift,1.0000,0.7188,0.8364,0.7188,0.0000,0.7188,1.0000,0.0000,1.0000,574.4205,64,8,0.20
max_residual_detector,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,253.0946,64,8,0.20
max_residual_detector,stress_0.40_adversarial_compensated_violation,1.0000,0.3125,0.4762,0.3125,0.0000,0.3125,1.0000,0.0000,1.0000,363.4087,64,8,0.40
max_residual_detector,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,779.2320,64,8,0.40
max_residual_detector,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.9844,0.0156,0.0156,0.0000,0.0000,0.0000,269.2397,64,8,0.40
max_residual_detector,stress_0.60_adversarial_compensated_violation,1.0000,0.4375,0.6087,0.4375,0.0000,0.4375,1.0000,0.0000,1.0000,473.2808,64,8,0.60
max_residual_detector,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,993.9041,64,8,0.60
max_residual_detector,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.8906,0.1094,0.1094,0.0000,0.0000,0.0000,311.0635,64,8,0.60
max_residual_detector,stress_0.80_adversarial_compensated_violation,1.0000,0.5469,0.7071,0.5469,0.0000,0.5469,1.0000,0.0000,1.0000,581.4699,64,8,0.80
max_residual_detector,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1229.3481,64,8,0.80
max_residual_detector,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.8438,0.1562,0.1562,0.0000,0.0000,0.0000,335.2174,64,8,0.80
max_residual_detector,stress_1.00_adversarial_compensated_violation,1.0000,0.7344,0.8468,0.7344,0.0000,0.7344,1.0000,0.0000,1.0000,693.6406,64,8,1.00
max_residual_detector,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1473.7966,64,8,1.00
max_residual_detector,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.7344,0.2656,0.2656,0.0000,0.0000,0.0000,371.7954,64,8,1.00
pca_reconstruction_audit,stress_0.00_adversarial_compensated_violation,1.0000,0.8125,0.8966,0.8125,0.0000,0.8125,1.0000,0.0000,1.0000,0.0473,64,8,0.00
pca_reconstruction_audit,stress_0.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.5554,64,8,0.00
pca_reconstruction_audit,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0322,64,8,0.00
pca_reconstruction_audit,stress_0.20_adversarial_compensated_violation,1.0000,0.9688,0.9841,0.9688,0.0000,0.9688,1.0000,0.0000,1.0000,0.0491,64,8,0.20
pca_reconstruction_audit,stress_0.20_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.3164,64,8,0.20
pca_reconstruction_audit,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.6094,0.3906,0.3906,0.0000,0.0000,0.0000,0.0248,64,8,0.20
pca_reconstruction_audit,stress_0.40_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0735,64,8,0.40
pca_reconstruction_audit,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,3.2097,64,8,0.40
pca_reconstruction_audit,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.4219,0.5781,0.5781,0.0000,0.0000,0.0000,0.0194,64,8,0.40
pca_reconstruction_audit,stress_0.60_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.1374,64,8,0.60
pca_reconstruction_audit,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,4.5701,64,8,0.60
pca_reconstruction_audit,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.4375,0.5625,0.5625,0.0000,0.0000,0.0000,0.0267,64,8,0.60
pca_reconstruction_audit,stress_0.80_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.1946,64,8,0.80
pca_reconstruction_audit,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,6.1328,64,8,0.80
pca_reconstruction_audit,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.1875,0.8125,0.8125,0.0000,0.0000,0.0000,0.0208,64,8,0.80
pca_reconstruction_audit,stress_1.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.2688,64,8,1.00
pca_reconstruction_audit,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,7.9845,64,8,1.00
pca_reconstruction_audit,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.1250,0.8750,0.8750,0.0000,0.0000,0.0000,0.0256,64,8,1.00
physics_violation_audit_v5,stress_0.00_adversarial_compensated_violation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,128.8283,64,8,0.00
physics_violation_audit_v5,stress_0.00_combined_violation_shift,1.0000,0.2656,0.4198,0.2656,0.0000,0.2656,1.0000,0.0000,1.0000,216.4975,64,8,0.00
physics_violation_audit_v5,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.0635,64,8,0.00
physics_violation_audit_v5,stress_0.20_adversarial_compensated_violation,1.0000,0.1406,0.2466,0.1406,0.0000,0.1406,1.0000,0.0000,1.0000,164.1450,64,8,0.20
physics_violation_audit_v5,stress_0.20_combined_violation_shift,1.0000,0.6875,0.8148,0.6875,0.0000,0.6875,1.0000,0.0000,1.0000,315.9912,64,8,0.20
physics_violation_audit_v5,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.3617,64,8,0.20
physics_violation_audit_v5,stress_0.40_adversarial_compensated_violation,1.0000,0.3125,0.4762,0.3125,0.0000,0.3125,1.0000,0.0000,1.0000,204.1678,64,8,0.40
physics_violation_audit_v5,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,429.3106,64,8,0.40
physics_violation_audit_v5,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.9688,0.0312,0.0312,0.0000,0.0000,0.0000,151.3308,64,8,0.40
physics_violation_audit_v5,stress_0.60_adversarial_compensated_violation,1.0000,0.4375,0.6087,0.4375,0.0000,0.4375,1.0000,0.0000,1.0000,265.8218,64,8,0.60
physics_violation_audit_v5,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,547.1828,64,8,0.60
physics_violation_audit_v5,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.8906,0.1094,0.1094,0.0000,0.0000,0.0000,174.8134,64,8,0.60
physics_violation_audit_v5,stress_0.80_adversarial_compensated_violation,1.0000,0.5469,0.7071,0.5469,0.0000,0.5469,1.0000,0.0000,1.0000,326.3669,64,8,0.80
physics_violation_audit_v5,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,678.5863,64,8,0.80
physics_violation_audit_v5,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.8438,0.1562,0.1562,0.0000,0.0000,0.0000,188.2103,64,8,0.80
physics_violation_audit_v5,stress_1.00_adversarial_compensated_violation,1.0000,0.7344,0.8468,0.7344,0.0000,0.7344,1.0000,0.0000,1.0000,389.1079,64,8,1.00
physics_violation_audit_v5,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,816.1805,64,8,1.00
physics_violation_audit_v5,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.7344,0.2656,0.2656,0.0000,0.0000,0.0000,208.6610,64,8,1.00
random_forest_ensemble,stress_0.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7070,64,8,0.00
random_forest_ensemble,stress_0.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9379,64,8,0.00
random_forest_ensemble,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.7031,0.2969,0.2969,0.0000,0.0000,0.0000,0.2596,64,8,0.00
random_forest_ensemble,stress_0.20_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7303,64,8,0.20
random_forest_ensemble,stress_0.20_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9220,64,8,0.20
random_forest_ensemble,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.8281,0.1719,0.1719,0.0000,0.0000,0.0000,0.2128,64,8,0.20
random_forest_ensemble,stress_0.40_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7796,64,8,0.40
random_forest_ensemble,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.8172,64,8,0.40
random_forest_ensemble,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.8594,0.1406,0.1406,0.0000,0.0000,0.0000,0.2092,64,8,0.40
random_forest_ensemble,stress_0.60_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.8819,64,8,0.60
random_forest_ensemble,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7987,64,8,0.60
random_forest_ensemble,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.7969,0.2031,0.2031,0.0000,0.0000,0.0000,0.2538,64,8,0.60
random_forest_ensemble,stress_0.80_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.8978,64,8,0.80
random_forest_ensemble,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7844,64,8,0.80
random_forest_ensemble,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.5156,0.4844,0.4844,0.0000,0.0000,0.0000,0.3797,64,8,0.80
random_forest_ensemble,stress_1.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.8978,64,8,1.00
random_forest_ensemble,stress_1.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.7766,64,8,1.00
random_forest_ensemble,stress_1.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6719,0.3281,0.3281,0.0000,0.0000,0.0000,0.3263,64,8,1.00
